gene1	gene	score
PYCRL	HSPA8	0.155
PYCRL	HSPA6	0.155
PYCRL	HSPA2	0.155
PYCRL	YWHAG	0.155
PYCRL	YWHAH	0.155
OAT	ADRB2	0.154
OAT	ICT1	0.154
OAT	HSD17B10	0.154
PYCR1	DDX55	0.154
PYCR2	ICT1	0.154
PYCR2	DDX55	0.154
PYCRL	DDX55	0.154
OAT	CSNK1A1	0.153
OAT	CSNK1E	0.153
OAT	HUWE1	0.153
PYCR2	HMGA2	0.153
PYCRL	HMGA2	0.153
OTC	ATP5C1	0.152
OAT	ATF2	0.152
OAT	HDAC5	0.152
OAT	CHEK1	0.152
OAT	MYC	0.152
OAT	SLC2A4	0.151
OAT	USP10	0.151
OAT	FAF2	0.151
OAT	OTUB1	0.151
OAT	EIF1B	0.151
OAT	EGFR	0.151
PYCR1	HSPA1L	0.151
PYCR1	USP10	0.151
PYCR1	BAG3	0.151
PYCR2	EGFR	0.151
PYCR2	HSPA1L	0.151
PYCR2	USP10	0.151
PYCR2	TERF2	0.151
PYCR2	NPLOC4	0.151
PYCRL	GAPDH	0.151
PYCRL	HSPA1L	0.151
PYCRL	USP10	0.151
OTC	HSP90AB1	0.15
OAT	RRAS	0.15
OAT	CDK9	0.15
OAT	RRAS2	0.15
OAT	NEDD8	0.15
OAT	KIAA0556	0.15
PYCR1	HSPA9	0.15
PYCR1	CNBP	0.15
PYCR1	TUBB4B	0.15
PYCR1	TUBB3	0.15
PYCR1	TUBB2A	0.15
PYCR1	TUBB8	0.15
PYCR1	ZCCHC13	0.15
PYCR1	TUBB6	0.15
PYCR1	TUBB2B	0.15
PYCR1	TUBB1	0.15
PYCR1	TUBB4A	0.15
PYCR1	TUBB	0.15
PYCR1	HSPA1A	0.15
PYCR1	ATP6V1B1	0.15
PYCR1	ATP6V1B2	0.15
PYCR2	TUBB6	0.15
PYCR2	TUBB2B	0.15
PYCR2	TUBB1	0.15
PYCR2	TUBB4A	0.15
PYCR2	GAPDH	0.15
PYCR2	TUBB	0.15
PYCR2	HSPA1A	0.15
PYCR2	ATP6V1B1	0.15
PYCR2	ATP6V1B2	0.15
PYCR2	HSPA9	0.15
PYCR2	CNBP	0.15
PYCR2	TUBB4B	0.15
PYCR2	TUBB3	0.15
PYCR2	TUBB2A	0.15
PYCR2	TUBB8	0.15
PYCR2	ZCCHC13	0.15
PYCRL	ZCCHC13	0.15
PYCRL	PRMT6	0.15
PYCRL	TUBB6	0.15
PYCRL	TUBB2B	0.15
PYCRL	TUBB1	0.15
PYCRL	TUBB4A	0.15
PYCRL	TUBB	0.15
PYCRL	HSPA1A	0.15
PYCRL	ATP6V1B1	0.15
PYCRL	ATP6V1B2	0.15
PYCRL	HSPA9	0.15
PYCRL	CNBP	0.15
PYCRL	TUBB4B	0.15
PYCRL	TUBB3	0.15
PYCRL	TUBB2A	0.15
PYCRL	TUBB8	0.15
OTC	PSMD4	0.149
OTC	PSMD2	0.149
OTC	CDC7	0.149
OAT	MAPK3	0.149
OAT	MAPK1	0.149
OAT	FUS	0.149
OAT	NMNAT3	0.149
OAT	NMNAT2	0.149
OAT	NMNAT1	0.149
OAT	SIRT7	0.149
OAT	FBXO6	0.149
OAT	KRAS	0.149
PYCR1	FUS	0.149
PYCR1	PSMD2	0.149
PYCR1	ITGA4	0.149
PYCR2	PSMD2	0.149
PYCRL	DGCR8	0.149
PYCRL	FUS	0.149
PYCRL	PSMD2	0.149
OAT	KCNMA1	0.148
OAT	STAU1	0.148
PYCR1	HNRNPD	0.148
PYCR1	ATOX1	0.148
PYCR1	VCAM1	0.148
PYCR2	ATOX1	0.148
PYCR2	NF2	0.148
PYCR2	CSNK1D	0.148
PYCRL	ATOX1	0.148
PYCRL	CSNK1D	0.148
OTC	NCS1	0.147
OTC	NOP9	0.147
PYCR2	FKBPL	0.147
PYCR2	SKIL	0.147
PYCR2	RELA	0.147
OAT	OTUD4	0.146
OAT	DMWD	0.146
OAT	UBQLN4	0.146
